RowID,EntryID,Markup,Folio,Date,Left column,Main column,Pounds,Shillings,Pence
17,V0017,head,5v,1642-08-06,,August 6 1642,,,
18,V0018,open table,5v,1642-08-06,,Sommeth [th]e other side,2090,2,0
19,V0019,tr,5v,1642-08-06,8,p[ai]d S[i]r w[illia]m waller for the advance of one monthes pay of a troope of horse of sixtie harquebusiers besid[es] officers the some of three hundreth forty five pownd[es] sixteen shillings by way of imprest,345,16,0
20,V0020,close table,5v,1642-08-06,8,more p[ai]d him for an arreer due unto him and his officers from the 25 Julie to the 6th of August exclusive being 22 dayes the some of on hundreth and five pownd[es] twelve shillings,105,12,0
21,V0021,head,5v,1642-08-08,,8 Aug[us]tt,,,
22,V0022,open table,5v,1642-08-08,8,p[ai]d S[i]r Faithfull fortescue for the advance of half a monthes paye for a troope of horse of 70 harquebusiers besid[es] officers on hundreth ninty l eight s,190,8,-
23,V0023,tr,5v,1642-08-08,9,p[ai]d my lord Grey of Grooby for the advance of on half monthes pay of a troop of horse of 60 harquebusiers Clxxii l xviii s,172,18,0
24,V0024,tr,5v,1642-08-08,9,p[ai]d Captaine Edward Askew for advance of 1/2 a monthes pay of a troope of 60 Harquebusiers,172,18,0
25,V0025,tr,5v,1642-08-08,10,p[ai]d the Earlle of Stamford for advance of half a monthes paye of 60 horse harquebusiers,172,18,0
26,V0026,tr,5v,1642-08-08,10,p[ai]d Captaine Francis Fines for advance of half a monthes pay as above,172,18,0
27,V0027,tr,5v,1642-08-08,11,p[ai]d Captaine Thomas Temple for advance of half a monthes pay as above,172,18,0
28,V0028,close table,5v,1642-08-08,11,p[ai]d Captaine John Gunter by 2 warr[anttes] one of the 6 & the other of the 8 present for advance of a monthes pay for a troope of 60 harquebusiers,345,16,0
29,V0029,head,5v,1642-08-09,,9 [August 1642],,,
30,V0030,open table,5v,1642-08-09,12,p[ai]d Collonel Browne Collonell of 1000 dragooners by way of imprest to be distributed amonge his officers,100,0,0
31,V0031,close table,5v,1642-08-09,,,4042,4,-
32,V0032,pb,6r,1642-08-09,,6r,,,
33,V0033,table (single row),6r,1642-08-09,,Soumeth the payment[es] on the other sid,4042,4,0
34,V0034,head,6r,1642-08-09,,The 9 August 1642,,,
35,V0035,open table,6r,1642-08-09,12,p[ai]d the Lord St John of Bletzo Collonell of 1200 foot for himself & his officers for a month and other payment[es] as by [th]e warrant appereth,1044,16,0
36,V0036,tr,6r,1642-08-09,13,p[ai]d Collonell John Hampden uppon acc[oun]tt of his regiment,2000,0,0
37,V0037,tr,6r,1642-08-09,13,p[ai]d Capt[ain] Francis Dowett for mountinge of 3 corporall[es],42,0,0
38,V0038,tr,6r,1642-08-09,14,p[ai]d Collonell John Dulbier for mounting of himself and officers of a troope of 60 horse as by the warrant,354,0,0
39,V0039,tr,6r,1642-08-09,14,p[ai]d my Lord Brook[es] for mountinge 2 trumpeters 1 farrier & 1 sadler at 8l a peece,32,0,0
40,V0040,tr,6r,1642-08-09,15,p[ai]d Capt[ain] [^Natha^] Fines for the like,32,0,0
41,V0041,tr,6r,1642-08-09,11,p[ai]d Capt[ain] Thomas Temple for mountinge 3 corporall[es],42,0,0
42,V0042,tr,6r,1642-08-09,to S[i]r Geo[rge] Chudly 80,p[ai]d Lewis Marshall leifftennent to S[i]r Georg Chudleigh by way of imprest uppon accompt,20,0,0
43,V0043,tr,6r,1642-08-09,15,p[ai]d Collonell Arthur Goodwine for furnishinge of 4 Captaines and ther officers w[i]th horse armes and other necessaries belonginge to his Regiment,1120,0,0
44,V0044,tr,6r,1642-08-09,16,"p[ai]d Captaine Arthur Eveline 42l for mountinge of his 3 corporall[es], more 32l for mountinge 2 trumpeters on farier and on sadler",74,0,0
45,V0045,tr,6r,1642-08-09,14,"p[ai]d my lord Brooke Captaine of a troop of 60 harquebusiers for the pay of his l[ordshi]p and officers for [?15?] dayes, 49 5: more for 7 daies more for his officers and troop 52l.10. In all",101,15,0
46,V0046,tr,6r,1642-08-09,14,more p[ai]d him for advance of a months paye for the said troope,345,16,0
47,V0047,close table,6r,1642-08-09,,,9250,11,
48,V0048,pb,6v,1642-08-09,,6v,,,
49,V0049,table (single row),6v,1642-08-09,,Sommeth the paym[entes] on the other side,9250,11,0
50,V0050,head,6v,1642-08-10,,10 August [1642],,,
51,V0051,open table,6v,1642-08-10,10,p[ai]d the Earle of Stamford as collonell of a regim[en]t of Foot for himself and his officers for a monthe and other payment[es] accordinge to the warr[an]tt,1045,16,0
52,V0052,tr,6v,1642-08-10,11,p[ai]d Captaine John Gunter for [th]e pay of himse[lf] and his officers from the 15 Julie Inclusive to the 6th of Aug[us]t exclusive being 21 dayes,104,9,6
53,V0053,tr,6v,1642-08-10,11,more p[ai]d him the some of tenn pound[es] for the sadler and farrier to be defalked of ther pay at 5s the weeke,10,0,0
54,V0054,tr,6v,1642-08-10,11,more p[ai]d him 26l for the pay of his troope from the 2 of Aug[us]t to the 6th beinge 4 dayes,26,0,0
55,V0055,tr,6v,1642-08-10,16,p[ai]d Capt[ai]n John Alured for mounting himself & his officers being Capt[ain] of a troop of horse,354,0,0
56,V0056,tr,6v,1642-08-10,17,p[ai]d Capt[ain] John Hotham for mounting himself and his officers beinge Capt[ain] of a troop of horse,354,0,0
57,V0057,tr,6v,1642-08-10,17,p[ai]d Capt[ain] w[illia]m Prettye for the advance of on monthes pay of of a troupe of 60 harquebusiers the some of by Imprest,349,16,-
58,V0058,tr,6v,1642-08-10,,more p[ai]d him for padd[es] bridles and bitt[es] for the 2 trumpeters farrier and sadler,6,0,0
59,V0059,tr,6v,1642-08-10,,more for his sadler and farrier to be defalked out of ther pay at 5s a weeke delivered him by way of imprest,10,0,0
60,V0060,tr,6v,1642-08-10,,more p[ai]d him for the pay of himself and officers from the 15th of Julie Inclusive to the 6th of August exclusive being 21 daies by way of imprest,104,9,6
61,V0061,tr,6v,1642-08-10,18,p[ai]d Capt[ain] Edward Ayscough for advance of another half monthes pay of a troope of 60 harquebusiers besid[es] officers,174,13,0
62,V0062,tr,6v,1642-08-10,,"more p[ai]d him for padd[es] bridles and bitt[es] for his 2 trumpeters, farrier and sadler",6,0,0
63,V0063,tr,6v,1642-08-10,,more for mountinge of 3 corporall[es],42,0,0
64,V0064,tr,6v,1642-08-10,18,p[ai]d Capt[ain] Jam[es] Sheffeild for advance of a monthes pay of a troop of 60 harquebusiers,349,16,0
65,V0065,close table,6v,1642-08-10,,,12187,11,0
66,V0066,pb,7r,1642-08-10,,7r,,,
67,V0067,table (single row),7r,1642-08-10,,Sommeth the payment[es] on the other side,12187,11,0
68,V0068,head,7r,1642-08-10,,10 August 1642,,,
69,V0069,open table,7r,1642-08-10,19,p[ai]d Capt[ain] Robert Burghill for advance of on monthes paye of a troope of 60 harqu[ebusiers],349,16,0
70,V0070,tr,7r,1642-08-10,10,p[ai]d Capt[ain] Fra[ncis] Fienns for mountinge 3 corporall[es] 42l more for mounting 2 trumpetters on sadler and on farrier 32l,74,0,0
71,V0071,tr,7r,1642-08-10,15,p[ai]d Captaine Nathaneel Fiennis for advance of one months paye of his troop of 60 harquebuziers,345,16,
72,V0072,close table,7r,1642-08-10,16,p[ai]d Captaine Arthur Evelinge for advance of on half monthes pay of a troope of horse of 60 harquebusiers,174,6,
73,V0073,head,7r,1642-08-11,,11 [August 1642],,,
74,V0074,open table,7r,1642-08-11,19,p[ai]d Captaine George Tompson for advance of on monthes paye for a troope of 60 harquebusiers by way of imprest,349,6,0
75,V0075,tr,7r,1642-08-11,,more p[ai]d him for mountinge 2 trumpeters on sadler and on farrier,32,0,0
76,V0076,tr,7r,1642-08-11,,more p[ai]d him for pay of himself and officers from the 21 Julie to the 6 August beinge an arreer due to him and his officers,79,12,0
77,V0077,tr,7r,1642-08-11,,more p[ai]d him for his sadler and farrier to be defalked out of ther pay at 5s a weeke to be delivered to him by way of imprest,10,0,0
78,V0078,tr,7r,1642-08-11,20,p[ai]d Leifftenn[an]t Collonell Davies for entertainment of my lord Gennerall Regiment of 15C menn for on month w[i]th other paym[en]ts cont[aine]d in the warr[an]t,1461,17,4
79,V0079,tr,7r,1642-08-11,20,p[ai]d S[i]r Henry Vane the yonger for the use of the navy w[hi]ch monie is to be repaid us in 3 weeks,2000,0,0
80,V0080,tr,7r,1642-08-11,21,p[ai]d S[i]r w[illia]m Fairfax for a monthes entertainm[en]t of his regiment of 12C menn by way of imprest,1244,16,0
81,V0081,tr,7r,1642-08-11,14,p[ai]d the Lord brooke for a monthes entertainment of his regiment of 1200 men by way of imprest,1044,16,0
82,V0082,close table,7r,1642-08-11,,,19353,16,4
83,V0083,pb,7v,1642-08-11,,7v,,,
84,V0084,table (single row),7v,1642-08-11,,Sommeth [th]e paym[en]ts on the other side,19353,16,4
85,V0085,head,7v,1642-08-11,,11 [August 1642],,,
86,V0086,open table,7v,1642-08-11,,p[ai]d Capt[ain] Thomas Temple for advance of of on halff monthes pay of a troope of harquebusiers besid[es] officers. Imprest,174,-,-
87,V0087,tr,7v,1642-08-11,11,more p[ai]d him for an arreer of paye due to himself and officers from the 13th of Julie last to the 6 of August being 21 daies 104.9.6: & for 3 dayes for 60 troop[ers] from the muster to the 6th of Aug[us]t the some of 22.10,126,19,6
88,V0088,tr,7v,1642-08-11,,more for padd[es] bridles and bitt[es] for a farrier & sadler,6,0,0
89,V0089,tr,7v,1642-08-11,,p[ai]d tot[al] 306.19.6d.,,,
90,V0090,tr,7v,1642-08-11,21,p[ai]d Capt[ain] Anselme Capt[ain] of a troope of Cuirassiers being the gennerall of the hors his [^troop^] by advance uppon acc[ount],600,0,0
91,V0091,tr,7v,1642-08-11,22,p[ai]d the Lord Viscount Rochford for on months intertainm[en]t of his regiment of 1200 foot,1244,16,0
92,V0092,tr,7v,1642-08-11,22,p[ai]d the Leifftenn[an]t Gen[era]ll of the Artiglirye uppon accompt,1000,0,0
93,V0093,tr,7v,1642-08-11,23,p[ai]d M[aste]r Henry Martine for the charge of raisinge 2000 menn whereof on thowsand for Hull uppon acc[oun]tt,2000,0,0
94,V0094,tr,7v,1642-08-11,9,p[ai]d my lord Greye for mountinge of 3 corporalls,42,0,0
95,V0095,tr,7v,1642-08-11,9,more for what was dew to him and his officers from the 15th of Julie Inclusive to the 6th of Aug[us]tt exclusive beinge 21 dayes,104,9,0
96,V0096,close table,7v,1642-08-11,sallery,p[ai]d John Sharpe & John Richardson for ther travaile and charge of bringinge up severall french menn from Canterbury,30,0,0
97,V0097,head,7v,1642-08-12,,12 [August 1642],,,
98,V0098,open table,7v,1642-08-12,14,p[ai]d the Lord Brooke to furnish his farier & sadler 6l a peece imprest,12,0,0
99,V0099,tr,7v,1642-08-12,17,p[ai]d Capt[ain] Pretty for allowance made to him for scarff[es] for his troope,30,0,0
100,V0100,tr,7v,1642-08-12,18,p[ai]d Capt[ain] Edward Aiscough the like,30,0,0
101,V0101,tr,7v,1642-08-12,23,"p[ai]d Capt[ain] Allexander Pim for mountinge 3 corporall[es] 42, more for mountinge 2 trumpeters 1 sadler and on farrier 32",74,0,0
102,V0102,close table,7v,1642-08-12,,,24828,0,10
103,V0103,pb,8r,1642-08-12,,8r,,,
104,V0104,table (single row),8r,1642-08-12,,Sommeth the payment[es] on the other side,24828,0,10
105,V0105,head,8r,1642-08-12,,12 [August 1642],,,
106,V0106,open table,8r,1642-08-12,24,p[ai]d Collonell Charles Essex Collonel of a regiment of 1200 for on monthes intertainment by way of imprest,1244,16,-
107,V0107,tr,8r,1642-08-12,24,p[ai]d the Lord Viscount say & seal Collonel of 1200 menn for a monthes intertainment as above,1044,16,0
108,V0108,tr,8r,1642-08-12,25,p[ai]d Capt[ain] Adrian Scroop Capt[ain] of a troop of horse for providinge himself & his officers w[i]th horses armes and other necessaries,280,0,0
109,V0109,tr,8r,1642-08-12,25,p[ai]d Captaine Hercules Langrish for providinge himself and officers as above,280,0,0
110,V0110,tr,8r,1642-08-12,26,p[ai]d Capt[ain] John Fleminge Capt[ain] of a troope of horse for raisinge of his troop,354,0,0
111,V0111,tr,8r,1642-08-12,13,p[ai]d Capt[ain] Fra[ncis] Dowett for 1 monthes pay for his intertainem[en]t of his troope of 60 horse,349,6,0
112,V0112,tr,8r,1642-08-12,13,more for an arreer due to him and his officers from [th]e 15 Julie Inclusive to the 6 of August exclusive beinge 21 days,104,9,6
113,V0113,tr,8r,1642-08-12,,more for allowance of scarff[es] for his troop,30,0,0
114,V0114,tr,8r,1642-08-12,26,p[ai]d Captaine George Austin for the mountinge of himself and his officers,280,0,0
115,V0115,tr,8r,1642-08-12,27,p[ai]d Captaine John hall for the mountinge of himself & officers,280,0,0
116,V0116,tr,8r,1642-08-12,27,p[ai]d Roger Wise Ingineer goinge to the countye of southampton,15,0,0
117,V0117,tr,8r,1642-08-12,28,p[ai]d Rob[er]t Good Captaine of the pioners goinge for the same place,10,0,0
118,V0118,tr,8r,1642-08-12,,p[ai]d Thomas Mathew and 6 other of his companions for intelligence out of Portsmouth,14,0,0
119,V0119,tr,8r,1642-08-12,28,p[ai]d my lord Hastings for advance of one half monthes pay for his troop of 60 harquebusiers,174,13,0
120,V0120,tr,8r,1642-08-12,,more for 3 corporall[es] 42l & 2 trumpeters on sadler 32,74,0,0
121,V0121,tr,8r,1642-08-12,,more scarff[es],30,0,0
122,V0122,close table,8r,1642-08-12,,,29393,1,4
123,V0123,pb,8v,1642-08-12,,8v,,,
124,V0124,table (single row),8v,1642-08-12,,Soumeth the paym[entes] on the oth[e]r side,29393,1,4
125,V0125,head,8v,1642-08-12,,12 [August 1642],,,
126,V0126,open table,8v,1642-08-12,19,p[ai]d Captaine Burghill for an arreer of pay due to him & his officers from the 15 Julie Inclusive to the 6 August exclusive,104,9,6
127,V0127,tr,8v,1642-08-12,29,p[ai]d Capt[ain] Bird for on monthes pay due to himself and officers to beginn from the 6 August,349,6,0
128,V0128,tr,8v,1642-08-12,29,more p[ai]d him for arreer of 9 dayes till the 6 of Aug[us]tt,112,5,6
129,V0129,tr,8v,1642-08-12,,more for scarff[es],30,0,0
130,V0130,close table,8v,1642-08-12,29,p[ai]d Capt[ain] Edward wingatt for mountinge and apointing him self & offic[ers],280,0,0
131,V0131,head,8v,1642-08-13,,13 [August 1642],,,
132,V0132,open table,8v,1642-08-13,30,p[ai]d Collonell Grantham for a monthes entertainm[en]t of his regiment of 1200 foot,1244,16,0
133,V0133,tr,8v,1642-08-13,30,p[ai]d Collonell Ballard for on monthes entertainment of his regiment as above,1244,16,0
134,V0134,tr,8v,1642-08-13,31,p[ai]d Collonell Bamfeild for on monthes entertainm[en]t for his regiment as above,1244,16,0
135,V0135,tr,8v,1642-08-13,31,p[ai]d James Senior provost marshall for his intertainment & traine,410,0,0
136,V0136,tr,8v,1642-08-13,8,p[ai]d S[i]r Faithfull Fortescue for another 1/2 monthes pay for his troope,198,0,0
137,V0137,tr,8v,1642-08-13,32,p[ai]d Capt[ain] Alexander Dowglas for providinge of himself and officers w[i]th horse armes and other necessaries for the service,280,0,0
138,V0138,tr,8v,1642-08-13,5,p[ai]d Captaine w[illia]m St leger for advance of a half monthes pay for his troope of 70 harquebusiers 198l of w[hi]ch is abated 8l p[ai]d him to much the 5th Aug[us]tt,190,0,0
139,V0139,tr,8v,1642-08-13,32,p[ai]d Capt[ain] John Fienns for mountinge himself and his officers,280,0,0
140,V0140,tr,8v,1642-08-13,33,p[ai]d S[i]r w[illia]m Balfour Leifftenn[an]t g[enera]ll of the horse uppon accompt,120,0,0
141,V0141,close table,8v,1642-08-13,,,35481,10,4
142,V0142,pb,9r,1642-08-13,,9r,,,
143,V0143,table (single row),9r,1642-08-13,,Sommeth the paym[entes] on the other side,35481,10,4
144,V0144,head,9r,1642-08-13,,13 Aug[us]tt [1642],,,
145,V0145,open table,9r,1642-08-13,33,p[ai]d S[i]r Henry cholmlye k[nigh]tt Collonell of a regiment of 1200 menn vizt 829l.10s.0 for advance of 1/2 a monthes pay more for the surgeons chest 15l. more for [th]e marshall[es] Irons 7l & 30l for hiring wagons to the place in all,881,10,0
146,V0146,tr,9r,1642-08-13,34,"p[ai]d Capt[ain] Horatio Carye for mountinge 3 corporalls 42l more for mountinge 2 trumpeters, his farrier & sadler 32l",74,0,0
147,V0147,tr,9r,1642-08-13,34,more p[ai]d Capt[ain] Anthony Mildmay the like,74,-,-
148,V0148,tr,9r,1642-08-13,35,more p[ai]d Capt[ain] Edward Kyehtly the like all thease 3 in on warr[an]t,74,-,-
149,V0149,tr,9r,1642-08-13,35,p[ai]d the Lord viscount mandevill Coll[onel] of a regiment of 1200 Foot for on monthes entertainm[en]t for his self and his officers by way of imprest,1244,16,4
150,V0150,tr,9r,1642-08-13,36,p[ai]d Gwalter frost for severall provisions by him provided and sent to the towne of Hull,961,16,1
151,V0151,close table,9r,1642-08-13,32,p[ai]d Capt[ain] Allexander Dowglas for mountinge his 3 corporall[es] 42. more 32. for mountinge his farrier sadler & 2 trumpeters,74,0,0
152,V0152,head,9r,1642-08-15,,15 [August 1642],,,
153,V0153,open table,9r,1642-08-15,36,p[ai]d S[i]r Robert Pye Capt[ain] of a troope of 60 harquebusiers by waye of advance,280,0,0
154,V0154,tr,9r,1642-08-15,37,p[ai]d Capt[ain] John Neal for providinge himself and officers w[i]th horse and armes & other necessaries,280,0,0
155,V0155,tr,9r,1642-08-15,37,p[ai]d S[i]r Phillip Stapleton Capt[ain] of the Generalls troope of 100 Cuirassiers for severall things contained in the warr[ant],920,0,0
156,V0156,tr,9r,1642-08-15,,more p[ai]d him for Scarffs for his troope,50,-,-
157,V0157,tr,9r,1642-08-15,,more 45l for mountinge 3 corporall[es] & 24 for mountinge 3 trumpeters,69,0,0
158,V0158,tr,9r,1642-08-15,38,p[ai]d Collonell Hollis for his provost marshall 7 & for his surgeons chest 15l,22,-,-
159,V0159,close table,9r,1642-08-15,,,40486,12,5
160,V0160,pb,9v,1642-08-15,,9v,,,
161,V0161,table (single row),9v,1642-08-15,,Sommeth the paym[entes] on the other side,40486,12,5
162,V0162,head,9v,1642-08-15,,15 Aug[us]t [1642],,,
163,V0163,open table,9v,1642-08-15,11,p[ai]d Capt[ain] John Gunter for scarfes for his troop,30,0,
164,V0164,tr,9v,1642-08-15,38,p[ai]d S[i]r Guilbert Pickeringe & John Crew for payment of such forces as ar at this present imployed for the defence of the countye & towne of northampton by the apointm[en]t of such deputye leifft[enants] as shalbe in the said towne or the greater number of,500,0,0
165,V0165,tr,9v,1642-08-15,12,p[ai]d the lord St John in full of his levy monie,200,0,0
166,V0166,tr,9v,1642-08-15,sallery,p[ai]d Ant[hony] Niccol[es] for conveying of severall packet[es] into severall counties & other reward[es] given,39,10,0
167,V0167,tr,9v,1642-08-15,10,p[ai]d the Earle of Stamford for mounting 2 trumpeters i sadler & a far[rier] 32l. more for scarf[es] for his troop,62,0,0
168,V0168,close table,9v,1642-08-15,sallery,p[ai]d Isaack Broomwich for charges of severall post & messages about the busines of warwicke & coventry,7,0,0
169,V0169,head,9v,1642-08-16,,16 [August 1642],,,
170,V0170,open table,9v,1642-08-16,39,p[ai]d Capt[ain] John Bradley for reparinge of armes w[hi]ch came from hull as also for buyinge of pistoll Cases Cartrages & other things to furnish the said arms,500,0,0
171,V0171,tr,9v,1642-08-16,40,p[ai]d S[i]r John mericke Collonel of 1200 menn for advance of one 1/2 months pay 829.10./ for the surgeons chest 15 marshall Irons 7l,851,10,0
172,V0172,tr,9v,1642-08-16,,more for provision of wagons by way of imprest,30,0,0
173,V0173,tr,9v,1642-08-16,40,p[ai]d John Lisle Esq[uire] 2000 to be imployed for the present service by [th]e direction and apointment of the Committee nominated by both howses or anie 3 of them for the countye of southampt[on],2000,0,0
174,V0174,tr,9v,1642-08-16,9,p[ai]d my lord Grey [^of groby^] for the advance of 1/2 a monthes pay of his troope by imprest,174,13,0
175,V0175,tr,9v,1642-08-16,,more for scarff[es],30,0,0
176,V0176,close table,9v,1642-08-16,,,44911,5,5
177,V0177,pb,10r,1642-08-16,,10r,,,
178,V0178,table (single row),10r,1642-08-16,,Sommeth [th]e payments on the oth[e]r side,44911,5,5
179,V0179,head,10r,1642-08-16,,16 Aug[us]tt [1642],,,
180,V0180,open table,10r,1642-08-16,41,p[ai]d Capt[ain] John Hamond for advance of on monthes pay for his troope of 60 harqueb[usiers],349,6,0
181,V0181,tr,10r,1642-08-16,,more for scarff[es],30,0,0
182,V0182,tr,10r,1642-08-16,7,p[ai]d the lord wharton Collonell of a regim[en]t of 1200 foot for the entertainm[en]t of himself and his officers & other payment[es] belonginge to his regiment,1244,16,0
183,V0183,tr,10r,1642-08-16,34,p[ai]d Capt[ain] Anthony Mildmaye for on monthes pay for his troope of 60 harquebusiers,349,6,0
184,V0184,tr,10r,1642-08-16,,more for scarff[es],30,0,0
185,V0185,tr,10r,1642-08-16,34,p[ai]d Capt[ain] horatio Carey by way of imprest for the advance of one months pay for his troope of 60 harquebusiers,349,6,0
186,V0186,tr,10r,1642-08-16,,more for scarff[es],30,0,0
187,V0187,tr,10r,1642-08-16,35,p[ai]d Capt[ain] Keightly for a monthes advance of his troope,349,6,0
188,V0188,tr,10r,1642-08-16,,more for scarff[es],30,0,0
189,V0189,tr,10r,1642-08-16,11,p[ai]d Capt[ain] Thomas Temple for scarff,30,0,0
190,V0190,tr,10r,1642-08-16,18,p[ai]d Capt[ain] James Sheffeild for an arreer of pay due to him & his officers from the 15 of Julie inclusive to the 6 of Aug[us]t exclusive 21 daies,104,9,6
191,V0191,tr,10r,1642-08-16,,more for his farrier & sadler to be defalked at 5s a weeke,10,0,0
192,V0192,tr,10r,1642-08-16,,"more for padd[es] bridles & bitt[es] for his two trumpeters, sadler & farier",6,0,
193,V0193,tr,10r,1642-08-16,,p[ai]d John Bigg[es] late store keep[e]r of Portsmouth for his losses and expences in that business,20,0,0
194,V0194,tr,10r,1642-08-16,41,p[ai]d Stephen Estwicke toward[es] the provision of Coat[es] shirt[es] shoes & caps for the severall regiment[es] in this exped[ition],1500,0,0
195,V0195,tr,10r,1642-08-16,42,p[ai]d John Baldwin provost marshall genn[era]ll of the horse for mountinge him self and his men w[i]th other thing[es] to him belongine,224,0,0
196,V0196,close table,10r,1642-08-16,,,49567,14,11
197,V0197,pb,10v,1642-08-16,,10v,,,
198,V0198,table (single row),10v,1642-08-16,,Sommeth the paym[entes] on the other side,49567,14,11
199,V0199,head,10v,1642-08-16,,16 Aug[us]tt [1642],,,
200,V0200,table (single row),10v,1642-08-16,42,p[ai]d Capt[ain] Henry Mildmay for mountinge himself and officers in a troop of 60 horse,280,0,0
201,V0201,head,10v,1642-08-17,,17 [August 1642],,,
202,V0202,open table,10v,1642-08-17,12,p[ai]d my lord St John for on monthes advance of pay of one troope of 60 harqueb[usiers],349,6,0
203,V0203,tr,10v,1642-08-17,,more for mountinge 2 trumpeters 1 farrier & on sadler 32 & for scarff[es] 30,62,0,0
204,V0204,tr,10v,1642-08-17,43,p[ai]d Capt[ain] Fra[ncis] Tomson Capt[ain] of a troope of horse by way of imprest for providinge himself and officers horse and arms,280,0,0
205,V0205,tr,10v,1642-08-17,10,p[ai]d the Earle of Stamford for advance of another 1/2 months paye for himself and officers for his troope,174,13,0
206,V0206,tr,10v,1642-08-17,43,p[ai]d Collonell Sandys by way of imprest for advance of on months pay for a troop of harqueb[usiers],349,6,-
207,V0207,tr,10v,1642-08-17,,more for mountinge 3 corporall[es] 42 - more for 2 trumpeters a farier & a sadler,74,0,0
208,V0208,tr,10v,1642-08-17,15,p[ai]d Capt[ain] Nathaneell Fyens for scarff[es] for his troope,30,0,0
209,V0209,tr,10v,1642-08-17,,more for provision of necessaries for [...] his farrier & sadler,10,0,0
210,V0210,tr,10v,1642-08-17,44,p[ai]d Captaine Henry Ireton for mounting 3 corporall[es] 42 more for 2 trumpeters 1 farier & 1 sadler 32,74,0,0
211,V0211,tr,10v,1642-08-17,,more for scarfes for his troope,30,0,0
212,V0212,tr,10v,1642-08-17,15,p[ai]d Collonel Arthur Goodwine for on month pay for his troope,349,6,0
213,V0213,tr,10v,1642-08-17,44,p[ai]d Capt[ain] Richard Greenvill for advance of one monthes pay for his troope,349,6,0
214,V0214,tr,10v,1642-08-17,45,p[ai]d Captaine Thomas Tirrell for advance of on months pay for his troop,349,6,0
215,V0215,tr,10v,1642-08-17,45,p[ai]d Capt[ain] Edmond west for advance of on monthes pay for his troope,349,6,0
216,V0216,tr,10v,1642-08-17,7,p[ai]d my lord wharton for another 1/2 monthes pay for his troope of 80 harquebusiers,207,18,-
217,V0217,close table,10v,1642-08-17,,,52886,1,11
218,V0218,pb,11r,1642-08-17,,11r,,,
219,V0219,table (single row),11r,1642-08-17,,Sommeth the paym[entes] on the other side,52886,1,11
220,V0220,head,11r,1642-08-18,,18th Aug[us]tt [1642],,,
221,V0221,open table,11r,1642-08-18,14,p[ai]d the Lord Brooke for on monthes entertainm[en]t of himself and his regim[en]t on foot by imprest,644,16,
222,V0222,tr,11r,1642-08-18,46,p[ai]d Captaine Vivier captaine of a troope of horse for mountinge himself and his officers,280,0,0
223,V0223,tr,11r,1642-08-18,14,p[ai]d [th]e Lord Brook for Scarff[es] for his troop of horse,30,0,0
224,V0224,tr,11r,1642-08-18,41,p[ai]d Capt[ain] John Hamond for mountinge 3 corporall[es] 42 more 32 for mountinge 2 trumpeters 1 sadler & on farrier,74,0,0
225,V0225,tr,11r,1642-08-18,37,p[ai]d S[i]r Phillipe Stapleton for mountinge of 20 gentlemen more in my Lord Gen[era]lls troope,300,0,0
226,V0226,tr,11r,1642-08-18,37,more for one monthes pay for the officers of on troop of Cuirassiers by way of imprest,186,4,0
