ID	Markup	Left column	Main column	Pounds	Shillings	Pence
43	tr	15	p[ai]d Collonell Arthur Goodwine for furnishinge of 4 Captaines and ther officers w[i]th horse armes and other necessaries belonginge to his Regiment	1120	0	0
44	tr	16	p[ai]d Captaine Arthur Eveline 42l for mountinge of his 3 corporall[es], more 32l for mountinge 2 trumpeters on farier and on sadler	74	0	0
45	tr	14	p[ai]d my lord Brooke Captaine of a troop of 60 harquebusiers for the pay of his l[ordshi]p and officers for [?15?] dayes, 49 5: more for 7 daies more for his officers and troop 52l.10. In all	101	15	0
46	tr	14	more p[ai]d him for advance of a months paye for the said troope	345	16	0
47	close table			9250	11	
48	pb		6v			
49	table (single row)		Sommeth the paym[entes] on the other side	9250	11	0
50	head		10 August [1642]			
51	open table	10	p[ai]d the Earle of Stamford as collonell of a regim[en]t of Foot for himself and his officers for a monthe and other payment[es] accordinge to the warr[an]tt	1045	16	0
52	tr	11	p[ai]d Captaine John Gunter for [th]e pay of himse[lf] and his officers from the 15 Julie Inclusive to the 6th of Aug[us]t exclusive being 21 dayes	104	9	6
53	tr	11	more p[ai]d him the some of tenn pound[es] for the sadler and farrier to be defalked of ther pay at 5s the weeke	10	0	0
54	tr	11	more p[ai]d him 26l for the pay of his troope from the 2 of Aug[us]t to the 6th beinge 4 dayes	26	0	0
55	tr	16	p[ai]d Capt[ai]n John Alured for mounting himself & his officers being Capt[ain] of a troop of horse	354	0	0
56	tr	17	p[ai]d Capt[ain] John Hotham for mounting himself and his officers beinge Capt[ain] of a troop of horse	354	0	0
57	tr	17	p[ai]d Capt[ain] w[illia]m Prettye for the advance of on monthes pay of of a troupe of 60 harquebusiers the some of by Imprest	349	16	-
58	tr		more p[ai]d him for padd[es] bridles and bitt[es] for the 2 trumpeters farrier and sadler	6	0	0
59	tr		more for his sadler and farrier to be defalked out of ther pay at 5s a weeke delivered him by way of imprest	10	0	0
60	tr		more p[ai]d him for the pay of himself and officers from the 15th of Julie Inclusive to the 6th of August exclusive being 21 daies by way of imprest	104	9	6
61	tr	18	p[ai]d Capt[ain] Edward Ayscough for advance of another half monthes pay of a troope of 60 harquebusiers besid[es] officers	174	13	0
62	tr		more p[ai]d him for padd[es] bridles and bitt[es] for his 2 trumpeters, farrier and sadler	6	0	0
63	tr		more for mountinge of 3 corporall[es]	42	0	0
64	tr	18	p[ai]d Capt[ain] Jam[es] Sheffeild for advance of a monthes pay of a troop of 60 harquebusiers	349	16	0
65	close table			12187	11	0
66	pb		7r			
67	table (single row)		Sommeth the payment[es] on the other side	12187	11	0
68	head		10 August 1642			
69	open table	19	p[ai]d Capt[ain] Robert Burghill for advance of on monthes paye of a troope of 60 harqu[ebusiers]	349	16	0
70	tr	10	p[ai]d Capt[ain] Fra[ncis] Fienns for mountinge 3 corporall[es] 42l more for mounting 2 trumpetters on sadler and on farrier 32l	74	0	0
71	tr	15	p[ai]d Captaine Nathaneel Fiennis for advance of one months paye of his troop of 60 harquebuziers	345	16	
72	close table	16	p[ai]d Captaine Arthur Evelinge for advance of on half monthes pay of a troope of horse of 60 harquebusiers	174	6	
73	head		11 [August 1642]			
74	open table	19	p[ai]d Captaine George Tompson for advance of on monthes paye for a troope of 60 harquebusiers by way of imprest	349	6	0
75	tr		more p[ai]d him for mountinge 2 trumpeters on sadler and on farrier	32	0	0
76	tr		more p[ai]d him for pay of himself and officers from the 21 Julie to the 6 August beinge an arreer due to him and his officers	79	12	0
77	tr		more p[ai]d him for his sadler and farrier to be defalked out of ther pay at 5s a weeke to be delivered to him by way of imprest	10	0	0
78	tr	20	p[ai]d Leifftenn[an]t Collonell Davies for entertainment of my lord Gennerall Regiment of 15C menn for on month w[i]th other paym[en]ts cont[aine]d in the warr[an]t	1461	17	4
79	tr	20	p[ai]d S[i]r Henry Vane the yonger for the use of the navy w[hi]ch monie is to be repaid us in 3 weeks	2000	0	0
80	tr	21	p[ai]d S[i]r w[illia]m Fairfax for a monthes entertainm[en]t of his regiment of 12C menn by way of imprest	1244	16	0
81	tr	14	p[ai]d the Lord brooke for a monthes entertainment of his regiment of 1200 men by way of imprest	1044	16	0
82	close table			19353	16	4
83	pb		7v			
84	table (single row)		Sommeth [th]e paym[en]ts on the other side	19353	16	4
85	head		11 [August 1642]			
86	open table		p[ai]d Capt[ain] Thomas Temple for advance of of on halff monthes pay of a troope of harquebusiers besid[es] officers. Imprest	174	-	-
87	tr	11	more p[ai]d him for an arreer of paye due to himself and officers from the 13th of Julie last to the 6 of August being 21 daies 104.9.6: & for 3 dayes for 60 troop[ers] from the muster to the 6th of Aug[us]t the some of 22.10	126	19	6
88	tr		more for padd[es] bridles and bitt[es] for a farrier & sadler	6	0	0
89	tr		p[ai]d tot[al] 306.19.6d.			
90	tr	21	p[ai]d Capt[ain] Anselme Capt[ain] of a troope of Cuirassiers being the gennerall of the hors his [^troop^] by advance uppon acc[ount]	600	0	0
91	tr	22	p[ai]d the Lord Viscount Rochford for on months intertainm[en]t of his regiment of 1200 foot	1244	16	0
92	tr	22	p[ai]d the Leifftenn[an]t Gen[era]ll of the Artiglirye uppon accompt	1000	0	0
93	tr	23	p[ai]d M[aste]r Henry Martine for the charge of raisinge 2000 menn whereof on thowsand for Hull uppon acc[oun]tt	2000	0	0
94	tr	9	p[ai]d my lord Greye for mountinge of 3 corporalls	42	0	0
95	tr	9	more for what was dew to him and his officers from the 15th of Julie Inclusive to the 6th of Aug[us]tt exclusive beinge 21 dayes	104	9	0
96	close table	sallery	p[ai]d John Sharpe & John Richardson for ther travaile and charge of bringinge up severall french menn from Canterbury	30	0	0
97	head		12 [August 1642]			
98	open table	14	p[ai]d the Lord Brooke to furnish his farier & sadler 6l a peece imprest	12	0	0
99	tr	17	p[ai]d Capt[ain] Pretty for allowance made to him for scarff[es] for his troope	30	0	0
100	tr	18	p[ai]d Capt[ain] Edward Aiscough the like	30	0	0
101	tr	23	p[ai]d Capt[ain] Allexander Pim for mountinge 3 corporall[es] 42, more for mountinge 2 trumpeters 1 sadler and on farrier 32	74	0	0
102	close table			24828	0	10
103	pb		8r			
104	table (single row)		Sommeth the payment[es] on the other side	24828	0	10
105	head		12 [August 1642]			
106	open table	24	p[ai]d Collonell Charles Essex Collonel of a regiment of 1200 for on monthes intertainment by way of imprest	1244	16	-
107	tr	24	p[ai]d the Lord Viscount say & seal Collonel of 1200 menn for a monthes intertainment as above	1044	16	0
108	tr	25	p[ai]d Capt[ain] Adrian Scroop Capt[ain] of a troop of horse for providinge himself & his officers w[i]th horses armes and other necessaries	280	0	0
109	tr	25	p[ai]d Captaine Hercules Langrish for providinge himself and officers as above	280	0	0
110	tr	26	p[ai]d Capt[ain] John Fleminge Capt[ain] of a troope of horse for raisinge of his troop	354	0	0
111	tr	13	p[ai]d Capt[ain] Fra[ncis] Dowett for 1 monthes pay for his intertainem[en]t of his troope of 60 horse	349	6	0
112	tr	13	more for an arreer due to him and his officers from [th]e 15 Julie Inclusive to the 6 of August exclusive beinge 21 days	104	9	6
113	tr		more for allowance of scarff[es] for his troop	30	0	0
114	tr	26	p[ai]d Captaine George Austin for the mountinge of himself and his officers	280	0	0
115	tr	27	p[ai]d Captaine John hall for the mountinge of himself & officers	280	0	0
116	tr	27	p[ai]d Roger Wise Ingineer goinge to the countye of southampton	15	0	0
117	tr	28	p[ai]d Rob[er]t Good Captaine of the pioners goinge for the same place	10	0	0
118	tr		p[ai]d Thomas Mathew and 6 other of his companions for intelligence out of Portsmouth	14	0	0
119	tr	28	p[ai]d my lord Hastings for advance of one half monthes pay for his troop of 60 harquebusiers	174	13	0
120	tr		more for 3 corporall[es] 42l & 2 trumpeters on sadler 32	74	0	0
121	tr		more scarff[es]	30	0	0
122	close table			29393	1	4
123	pb		8v			
124	table (single row)		Soumeth the paym[entes] on the oth[e]r side	29393	1	4
125	head		12 [August 1642]			
126	open table	19	p[ai]d Captaine Burghill for an arreer of pay due to him & his officers from the 15 Julie Inclusive to the 6 August exclusive	104	9	6
127	tr	29	p[ai]d Capt[ain] Bird for on monthes pay due to himself and officers to beginn from the 6 August	349	6	0
128	tr	29	more p[ai]d him for arreer of 9 dayes till the 6 of Aug[us]tt	112	5	6
129	tr		more for scarff[es]	30	0	0
130	close table	29	p[ai]d Capt[ain] Edward wingatt for mountinge and apointing him self & offic[ers]	280	0	0
131	head		13 [August 1642]			
132	open table	30	p[ai]d Collonell Grantham for a monthes entertainm[en]t of his regiment of 1200 foot	1244	16	0
133	tr	30	p[ai]d Collonell Ballard for on monthes entertainment of his regiment as above	1244	16	0
134	tr	31	p[ai]d Collonell Bamfeild for on monthes entertainm[en]t for his regiment as above	1244	16	0
135	tr	31	p[ai]d James Senior provost marshall for his intertainment & traine	410	0	0
136	tr	8	p[ai]d S[i]r Faithfull Fortescue for another 1/2 monthes pay for his troope	198	0	0
137	tr	32	p[ai]d Capt[ain] Alexander Dowglas for providinge of himself and officers w[i]th horse armes and other necessaries for the service	280	0	0
138	tr	5	p[ai]d Captaine w[illia]m St leger for advance of a half monthes pay for his troope of 70 harquebusiers 198l of w[hi]ch is abated 8l p[ai]d him to much the 5th Aug[us]tt	190	0	0
139	tr	32	p[ai]d Capt[ain] John Fienns for mountinge himself and his officers	280	0	0
140	tr	33	p[ai]d S[i]r w[illia]m Balfour Leifftenn[an]t g[enera]ll of the horse uppon accompt	120	0	0
141	close table			35481	10	4
142	pb		9r			
143	table (single row)		Sommeth the paym[entes] on the other side	35481	10	4
144	head		13 Aug[us]tt [1642]			
145	open table	33	p[ai]d S[i]r Henry cholmlye k[nigh]tt Collonell of a regiment of 1200 menn vizt 829l.10s.0 for advance of 1/2 a monthes pay more for the surgeons chest 15l. more for [th]e marshall[es] Irons 7l & 30l for hiring wagons to the place in all	881	10	0
146	tr	34	p[ai]d Capt[ain] Horatio Carye for mountinge 3 corporalls 42l more for mountinge 2 trumpeters, his farrier & sadler 32l	74	0	0
147	tr	34	more p[ai]d Capt[ain] Anthony Mildmay the like	74	-	-
148	tr	35	more p[ai]d Capt[ain] Edward Kyehtly the like all thease 3 in on warr[an]t	74	-	-
149	tr	35	p[ai]d the Lord viscount mandevill Coll[onel] of a regiment of 1200 Foot for on monthes entertainm[en]t for his self and his officers by way of imprest	1244	16	4
150	tr	36	p[ai]d Gwalter frost for severall provisions by him provided and sent to the towne of Hull	961	16	1
151	close table	32	p[ai]d Capt[ain] Allexander Dowglas for mountinge his 3 corporall[es] 42. more 32. for mountinge his farrier sadler & 2 trumpeters	74	0	0
152	head		15 [August 1642]			
153	open table	36	p[ai]d S[i]r Robert Pye Capt[ain] of a troope of 60 harquebusiers by waye of advance	280	0	0
154	tr	37	p[ai]d Capt[ain] John Neal for providinge himself and officers w[i]th horse and armes & other necessaries	280	0	0
155	tr	37	p[ai]d S[i]r Phillip Stapleton Capt[ain] of the Generalls troope of 100 Cuirassiers for severall things contained in the warr[ant]	920	0	0
156	tr		more p[ai]d him for Scarffs for his troope	50	-	-
157	tr		more 45l for mountinge 3 corporall[es] & 24 for mountinge 3 trumpeters	69	0	0
158	tr	38	p[ai]d Collonell Hollis for his provost marshall 7 & for his surgeons chest 15l	22	-	-
159	close table			40486	12	5
160	pb		9v			
161	table (single row)		Sommeth the paym[entes] on the other side	40486	12	5
162	head		15 Aug[us]t [1642]			
163	open table	11	p[ai]d Capt[ain] John Gunter for scarfes for his troop	30	0	
164	tr	38	p[ai]d S[i]r Guilbert Pickeringe & John Crew for payment of such forces as ar at this present imployed for the defence of the countye & towne of northampton by the apointm[en]t of such deputye leifft[enants] as shalbe in the said towne or the greater number of	500	0	0
165	tr	12	p[ai]d the lord St John in full of his levy monie	200	0	0
166	tr	sallery	p[ai]d Ant[hony] Niccol[es] for conveying of severall packet[es] into severall counties & other reward[es] given	39	10	0
167	tr	10	p[ai]d the Earle of Stamford for mounting 2 trumpeters i sadler & a far[rier] 32l. more for scarf[es] for his troop	62	0	0
168	close table	sallery	p[ai]d Isaack Broomwich for charges of severall post & messages about the busines of warwicke & coventry	7	0	0
169	head		16 [August 1642]			
170	open table	39	p[ai]d Capt[ain] John Bradley for reparinge of armes w[hi]ch came from hull as also for buyinge of pistoll Cases Cartrages & other things to furnish the said arms	500	0	0
171	tr	40	p[ai]d S[i]r John mericke Collonel of 1200 menn for advance of one 1/2 months pay 829.10./ for the surgeons chest 15 marshall Irons 7l	851	10	0
172	tr		more for provision of wagons by way of imprest	30	0	0
173	tr	40	p[ai]d John Lisle Esq[uire] 2000 to be imployed for the present service by [th]e direction and apointment of the Committee nominated by both howses or anie 3 of them for the countye of southampt[on]	2000	0	0
174	tr	9	p[ai]d my lord Grey [^of groby^] for the advance of 1/2 a monthes pay of his troope by imprest	174	13	0
175	tr		more for scarff[es]	30	0	0
176	close table			44911	5	5
177	pb		10r			
178	table (single row)		Sommeth [th]e payments on the oth[e]r side	44911	5	5
179	head		16 Aug[us]tt [1642]			
180	open table	41	p[ai]d Capt[ain] John Hamond for advance of on monthes pay for his troope of 60 harqueb[usiers]	349	6	0
181	tr		more for scarff[es]	30	0	0
182	tr	7	p[ai]d the lord wharton Collonell of a regim[en]t of 1200 foot for the entertainm[en]t of himself and his officers & other payment[es] belonginge to his regiment	1244	16	0
183	tr	34	p[ai]d Capt[ain] Anthony Mildmaye for on monthes pay for his troope of 60 harquebusiers	349	6	0
184	tr		more for scarff[es]	30	0	0
185	tr	34	p[ai]d Capt[ain] horatio Carey by way of imprest for the advance of one months pay for his troope of 60 harquebusiers	349	6	0
186	tr		more for scarff[es]	30	0	0
187	tr	35	p[ai]d Capt[ain] Keightly for a monthes advance of his troope	349	6	0
188	tr		more for scarff[es]	30	0	0
189	tr	11	p[ai]d Capt[ain] Thomas Temple for scarff	30	0	0
190	tr	18	p[ai]d Capt[ain] James Sheffeild for an arreer of pay due to him & his officers from the 15 of Julie inclusive to the 6 of Aug[us]t exclusive 21 daies	104	9	6
191	tr		more for his farrier & sadler to be defalked at 5s a weeke	10	0	0
192	tr		more for padd[es] bridles & bitt[es] for his two trumpeters, sadler & farier	6	0	
193	tr		p[ai]d John Bigg[es] late store keep[e]r of Portsmouth for his losses and expences in that business	20	0	0
194	tr	41	p[ai]d Stephen Estwicke toward[es] the provision of Coat[es] shirt[es] shoes & caps for the severall regiment[es] in this exped[ition]	1500	0	0
195	tr	42	p[ai]d John Baldwin provost marshall genn[era]ll of the horse for mountinge him self and his men w[i]th other thing[es] to him belongine	224	0	0
196	close table			49567	14	11
197	pb		10v			
198	table (single row)		Sommeth the paym[entes] on the other side	49567	14	11
199	head		16 Aug[us]tt [1642]			
200	table (single row)	42	p[ai]d Capt[ain] Henry Mildmay for mountinge himself and officers in a troop of 60 horse	280	0	0
201	head		17 [August 1642]			
202	open table	12	p[ai]d my lord St John for on monthes advance of pay of one troope of 60 harqueb[usiers]	349	6	0
203	tr		more for mountinge 2 trumpeters 1 farrier & on sadler 32 & for scarff[es] 30	62	0	0
204	tr	43	p[ai]d Capt[ain] Fra[ncis] Tomson Capt[ain] of a troope of horse by way of imprest for providinge himself and officers horse and arms	280	0	0
205	tr	10	p[ai]d the Earle of Stamford for advance of another 1/2 months paye for himself and officers for his troope	174	13	0
206	tr	43	p[ai]d Collonell Sandys by way of imprest for advance of on months pay for a troop of harqueb[usiers]	349	6	-
207	tr		more for mountinge 3 corporall[es] 42 - more for 2 trumpeters a farier & a sadler	74	0	0
208	tr	15	p[ai]d Capt[ain] Nathaneell Fyens for scarff[es] for his troope	30	0	0
209	tr		more for provision of necessaries for [...] his farrier & sadler	10	0	0
210	tr	44	p[ai]d Captaine Henry Ireton for mounting 3 corporall[es] 42 more for 2 trumpeters 1 farier & 1 sadler 32	74	0	0
211	tr		more for scarfes for his troope	30	0	0
212	tr	15	p[ai]d Collonel Arthur Goodwine for on month pay for his troope	349	6	0
213	tr	44	p[ai]d Capt[ain] Richard Greenvill for advance of one monthes pay for his troope	349	6	0
214	tr	45	p[ai]d Captaine Thomas Tirrell for advance of on months pay for his troop	349	6	0
215	tr	45	p[ai]d Capt[ain] Edmond west for advance of on monthes pay for his troope	349	6	0
216	tr	7	p[ai]d my lord wharton for another 1/2 monthes pay for his troope of 80 harquebusiers	207	18	-
217	close table			52886	1	11
218	pb		11r			
219	table (single row)		Sommeth the paym[entes] on the other side	52886	1	11
220	head		18th Aug[us]tt [1642]			
221	open table	14	p[ai]d the Lord Brooke for on monthes entertainm[en]t of himself and his regim[en]t on foot by imprest	644	16	
222	tr	46	p[ai]d Captaine Vivier captaine of a troope of horse for mountinge himself and his officers	280	0	0
223	tr	14	p[ai]d [th]e Lord Brook for Scarff[es] for his troop of horse	30	0	0
224	tr	41	p[ai]d Capt[ain] John Hamond for mountinge 3 corporall[es] 42 more 32 for mountinge 2 trumpeters 1 sadler & on farrier	74	0	0
225	tr	37	p[ai]d S[i]r Phillipe Stapleton for mountinge of 20 gentlemen more in my Lord Gen[era]lls troope	300	0	0
226	tr	37	more for one monthes pay for the officers of on troop of Cuirassiers by way of imprest	186	4	0
227	tr	5	p[ai]d Captaine St leger 8s w[hi]ch was p[ai]d him short the 13 present in the 190l	-	8	
228	tr	16	p[ai]d S[i]r w[illia]m Cunstable Collonell of a regiment of 1200 menn for on months entertainment for himself and his officers & levy monie for his menn	1244	16	0
229	tr	16	p[ai]d Capt[ain] Arthur Evelin for advance of on 1/2 monthes [...] paye for his troope	174	13	0
230	tr		more for scarff[es] for his menn	30	0	0
231	tr	45	p[ai]d Captaine Thomas Tirrell for scarff[es] for his troope	30	0	0
232	tr	24	p[ai]d my Lord Saye 200l to be added to the 400l p[ai]d for the leviinge of his regiment	200	0	0
233	close table			56080	18	11
234	pb		11v			
235	table (single row)		Sommeth the paym[entes] on the other side	56080	18	11
236	head		19th Aug[us]tt 1642			
237	open table	14	p[ai]d Capt[ain] John Dulbier for a monthes pay for his troope	349	6	0
238	tr		more for scarff[es]	30	0	0
239	tr	25	p[ai]d Capt[ain] Langrish for mounting 3 corporall[es] 42l more 32l for 2 trumpeters 1 farier & 1 sadler	74	0	0
240	tr		mor Scarff[es] for his troope	30	0	0
241	tr	12	p[ai]d the Lord St John for advance of on monthes pay for 400 menn part of his regiment of 1200 to begine from the 13 of this monthe	280	0	0
242	tr	12	more 300l to be by his L[ordshi]p delivered unto S[i]r Oliver Luke, S[i]r Samuell Luke S[i]r Thomas Alston & S[i]r Thomas Rolt dep[uty] leifft[enants] of Bedford or anie 2 of them to be p[ai]d unto the soldiers when they ar mustered w[hi]ch monie is to be Issued to the said lord uppon acc[oun]tt	300	0	0
243	tr	14	p[ai]d to the Lord Brooke to be added to the 400l already receaved for the leviing of his regiment of 1200 menn	200	-	-
244	tr		more p[ai]d him for scarff[es] for his troope	30	-	-
245	tr	47	p[ai]d Captaine Oliver Cromwell capt[ain] of a troope of horse for mountinge him self and his officers	280	0	0
246	tr	47	p[ai]d Captaine Robert Kirle Capt[ain] of a troope of horse for mountinge him self and his officers	280	0	0
247	tr	22	p[ai]d Phillebert Emanuel de Boys for on monthes pay and entertainment for the officers and artificers of the train of Artiglirye	2280	2	8
248	tr	sallery	p[ai]d John Rushworth by order of p[ar]liament for his pains and fidelity in sundry services	150		
249	tr	48	p[ai]d the Lord willougby of parham for soe much disbursed for service of the kingdome in Lincolnshire	100	0	0
250	close table			60464	7	7
251	pb		12r			
252	table (single row)		Sommeth the paym[entes] on the other side	60464	7	7
253	head		19 August [1642]			
254	open table	20	p[ai]d Leifftenn[an]t Collonell Davies for an Areer due to him in part of his entertainm[en]t in my Lord G[enera]lls regiment	38	10	0
255	tr	29	p[ai]d Captaine Edward wingat for mountinge of 3 corporall 42 more for 2 trumpeters 1 sadler & 1 farr[ie]r 32. 74.0.0	74	0	0
256	close table		more for scarff[es] for his troope	30	0	0
257	head		20 [August 1642]			
258	open table	49	p[ai]d my Lord gen[era]ll as captaine of a troop of horse for mountinge his officers	280	0	0
259	tr	10	p[ai]d the Earle of Stamford by way of advance of pay of a [^companie^] of 100 menn under the Command of Capt[ai]n Isaacke Dobson	100	0	0
260	tr	39	p[ai]d Capt[ain] John Bradley for Carabins pistoll[es] and armes	210	0	0
261	tr	49	p[ai]d John Lord Robert[es] for on months entertainm[en]t of himself and officers of his reg[imen]t of 1200 menn	1244	16	0
262	tr	50	p[ai]d Capt[ain] John Raymond for leviinge a companie of 100 foot	50	0	0
263	tr	27	p[ai]d Capt[ain] John hall capt[ain] of a troop of horse for advance of on monthes pay for himself and officers	349	6	0
264	tr		more for mountinge 3 corporall[es] 42 & 2 trumpeters a farier and a sadler 32	74	0	0
265	tr		more for scarff[es]	30	0	0
266	tr	12	p[ai]d Collonell Browne for lvey monie of 600 dragooners & officers	3792	0	0
267	close table	33	p[ai]d S[i]r w[illia]m Balfour Leifftenn[an]t g[enera]ll of the horse by way of advance uppon accompt	800	0	0
268	head		21 [August 1642]			
269	open table	13	p[ai]d Collonell John Hambden by way of imprest the sume of 1500l for the pay of his regiment & other incident charg[es]	1500	0	0
270	close table			69036	19	7
271	pb		12v			
272	table (single row)		Sommeth the paym[entes] on the other side	69036	19	7
273	head		22 [August 1642]			
274	open table	37	p[ai]d S[i]r Phillipe Stapleton for mountinge of 10 gentlemen to be added to his troope	150	0	0
275	tr	37	more for mountinge the farrier and sadler of [th]e Lord G[eneralles] troope 16l and for advance monie to them 10l	26	0	0
276	tr	50	p[ai]d Henry Billingsley leifftenn[an]t Coll[onel] to Denzill Hollis the some of 42l for on monthes intertainm[en]t by way of imprest	42	0	0
277	tr	23	p[ai]d Capt[ain] Allexand[e]r Pime for scarff[es] for his troope	30	0	0
278	tr	51	p[ai]d Captaine walter Longe captaine of a troope of horse for mounting himself and his officers	280	-	-
279	tr	26	p[ai]d Capt[ain] John Fleminge for one months pay for himself officers and troop of 60	349	6	0
280	close table		more for scarff[es]	30	0	0
281	head		23 [August 1642]			
282	open table	sallery	p[ai]d Nathaneel and w[illia]m Hill for apprehending and bringinge up James Barrow and Edward Hudleston who wear raisinge forces in Gloastershire against the parlim[en]t	20	0	0
283	tr	51	p[ai]d sergant major Aylworth for one monthes paye of 120 soldiers from the 19 of this instant aug[us]t, uppon w[hi]ch day they wear mustered, being his comp[any] in my lord Brook[es] reg[imen]t	112	0	0
284	tr	52	p[ai]d Capt[ain] michaell Bland for on months pay of his comp[any] of 100 soldiers belonginge to S[i]r w[illia]m Fairfax regiment mustered the 20 aug[us]t when it begins	93	6	8
285	tr	39	p[ai]d Capt[ain] John Bradly for 99 paire of pistolls by him bought for his service	175	19	0
286	tr	52	p[ai]d Capt[ain] Charles Chichester for mounting 3 corporalls 42 for mountinge 2 trumpet[e]rs a sadler & farr[ie]r 32l for scarff[es] 30	104	-	-
287	tr	42	p[ai]d Capt[ain] Henry Mildmay for advance of on months pay for his troop of 60 harquebus[ier]s	349	6	0
288	tr		more for mountinge 3 corporall[es] 42l & for 2 trumpet[er]s a farrier & a sadler 32l	74	0	0
289	close table			70872	7	3
290	pb		13r			
291	table (single row)		Sommeth the paym[entes] on the other side	70872	17	3
292	head		23 [August 1642]			
293	open table	53	p[ai]d Capt[ain] Francis Roger of S[i]r w[illia]m Fairfax regiment for on monthes pay for his comp[any] of 59 soldiers to begine from the 20 day of this month when the said companie was mustered	55	1	4
294	tr	53	p[ai]d Capt[ain] Edward Odingsell[es] for on m[onth] pay of 70 soldiers in the same regiment beginning as above	64	18	8
295	tr	44	p[ai]d Capt[ain] Richard Grenvile for mountinge of 3 corporall[es] 42 more 2 trumpett[es] 1 farrier & 1 sadler, 32 more for scarffs 30l	104	0	0
